事業コード,開発コード,部番,検出器,対象販社,判定年月,対象月内訳,遅延月,run年月,統合注目度,状態,指標,観測率,当月閾値,提案Y下限,処置区分,再評価年月,上書き閾値,原因メモ,確認者
E1,M02,101-0,信号C,D,202410,202410,3,202501,3.0,監視中,[202410の月・3ヶ月遅れ] O/E=5.06 使用24件 p=7.2e-09,,,,,,,,
E1,M10,103-0,信号C,A,202501,202501,0,202501,3.0,未記録,O/E=13.61 使用18件 p=1.0e-11,,,,,,,,
E1,M10,103-1,信号C,A,202501,202501,0,202501,3.0,未記録,O/E=10.59 使用14件 p=1.6e-08,,,,,,,,
E1,M06,102-0,閾値/信号B,ALL,202501,202501,0,202501,1.979,要確認保留,"累積率7.39% / 閾値5.00% ｜ SF=SF-102 O/E=2.46 (ピア6機種, nb=1, 部番490件)",7.39,5.0,7.89,,,,,
E1,M01,100-0,信号C,C,202412,202412,1,202501,1.299,未記録,[202412の月・1ヶ月遅れ] O/E=4.23 使用9件 p=1.0e-03,,,,,,,,
