事業コード,開発コード,部番,検出器,対象販社,判定年月,対象月内訳,遅延月,run年月,統合注目度,状態,指標,観測率,当月閾値,提案Y下限,処置区分,再評価年月,上書き閾値,原因メモ,確認者
E1,M02,101-0,閾値/信号B,ALL,202412,202412,0,202412,2.792,未記録,"累積率11.46% / 閾値5.00% ｜ SF=SF-101 O/E=4.14 (ピア5機種, nb=1, 部番691件)",11.46,5.0,11.96,,,,,
E1,M06,102-0,閾値/信号B,ALL,202412,202412,0,202412,1.955,未記録,"累積率7.27% / 閾値5.00% ｜ SF=SF-102 O/E=2.48 (ピア5機種, nb=1, 部番490件)",7.27,5.0,7.77,,,,,
E1,M04,104-1,閾値,ALL,202412,202412,0,202412,1.663,未記録,累積率8.32% / 閾値5.00%,8.32,5.0,8.82,,,,,
E1,M04,104-0,閾値,ALL,202412,202412,0,202412,1.611,未記録,累積率8.05% / 閾値5.00%,8.05,5.0,8.55,,,,,
E1,M04,104-2,閾値,ALL,202412,202412,0,202412,1.59,未記録,累積率7.95% / 閾値5.00%,7.95,5.0,8.45,,,,,
E1,M12,104-0,信号C,E,202405,202405,7,202412,1.195,未記録,[202405の月・7ヶ月遅れ] O/E=13.61 使用4件 p=1.8e-03,,,,,,,,
E1,M10,100-0,信号C,A,202412,202412,0,202412,1.181,未記録,O/E=4.93 使用7件 p=1.9e-03,,,,,,,,
E1,M05,104-0,信号C,B,202408,202408,4,202412,1.033,未記録,[202408の月・4ヶ月遅れ] O/E=4.13 使用7件 p=4.2e-03,,,,,,,,
