事業コード,開発コード,部番,検出器,検出器数,対象販社,指標,最大スコア,判定年月,対象月内訳,観測率,当月閾値,提案Y下限,遅延月,統合注目度,状態,抑制解除月,run年月,処置区分,再評価年月,原因メモ,確認者
E1,M02,101-0,閾値/信号B,2,ALL,"累積率11.46% / 閾値5.00% ｜ SF=SF-101 O/E=4.14 (ピア5機種, nb=1, 部番691件)",2.2922155688622756,202412,202412,11.46,5.0,11.96,0,2.792,未記録,,202412,,,,
E1,M06,102-0,閾値/信号B,2,ALL,"累積率7.27% / 閾値5.00% ｜ SF=SF-102 O/E=2.48 (ピア5機種, nb=1, 部番490件)",1.4545454545454546,202412,202412,7.27,5.0,7.77,0,1.955,未記録,,202412,,,,
E1,M04,104-1,閾値,1,ALL,累積率8.32% / 閾値5.00%,1.6633165829145728,202412,202412,8.32,5.0,8.82,0,1.663,未記録,,202412,,,,
E1,M04,104-0,閾値,1,ALL,累積率8.05% / 閾値5.00%,1.6105527638190957,202412,202412,8.05,5.0,8.55,0,1.611,未記録,,202412,,,,
E1,M04,104-2,閾値,1,ALL,累積率7.95% / 閾値5.00%,1.5904522613065326,202412,202412,7.95,5.0,8.45,0,1.59,未記録,,202412,,,,
E1,M12,104-0,信号C,1,E,[202405の月・7ヶ月遅れ] O/E=13.61 使用4件 p=1.8e-03,1.195085655592223,202405,202405,,,,7,1.195,未記録,,202412,,,,
E1,M10,100-0,信号C,1,A,O/E=4.93 使用7件 p=1.9e-03,1.180727219220155,202412,202412,,,,0,1.181,未記録,,202412,,,,
E1,M05,104-0,信号C,1,B,[202408の月・4ヶ月遅れ] O/E=4.13 使用7件 p=4.2e-03,1.0334618233479875,202408,202408,,,,4,1.033,未記録,,202412,,,,
